slice_name,total_texts,first_text_id,last_text_id,tmp_slice_path,final_slice_path,conllu_path,origin_filepath,data_origin_group,final_df_path,exclusions_path,slice_number,started_at,finished_at,parsing_time
29_005,9999,pcc_eng_29_005.0001_x0064722,pcc_eng_29_005.9999_x0080996,pile_tables/slices/Pcc29/tmp/pile_29-005_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc29/pile_29-005_Pile-CC_df.pkl.gz,Pcc29.conll/pcc_eng_29-005.conllu,/share/compling/data/pile/train/29.jsonl,29,pile_tables/pile_29_Pile-CC_df.pkl.gz,pile_exclusions/pile_29_Pile-CC_excl.pkl.gz,5.0,Sun Mar 27 05:22:40 2022,Sun Mar 27 06:08:02 2022,0 days 00:45:22
29_006,9999,pcc_eng_29_006.0001_x0080997,pcc_eng_29_006.9999_x0097017,pile_tables/slices/Pcc29/tmp/pile_29-006_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc29/pile_29-006_Pile-CC_df.pkl.gz,Pcc29.conll/pcc_eng_29-006.conllu,/share/compling/data/pile/train/29.jsonl,29,pile_tables/pile_29_Pile-CC_df.pkl.gz,pile_exclusions/pile_29_Pile-CC_excl.pkl.gz,6.0,Sun Mar 27 06:16:33 2022,Sun Mar 27 07:03:10 2022,0 days 00:46:37
PccVal_1,9999,pcc_eng_val_1.0001_x00001,pcc_eng_val_1.9999_x16202,pile_tables/slices/PccVa/tmp/pile_val-1_Pile-CC_df.pkl.gz,pile_tables/slices/PccVa/pile_val-1_Pile-CC_df.pkl.gz,PccVa.conll/pcc_eng_val-01.conllu,/share/compling/data/pile/val.jsonl,val,pile_tables/pile_val_Pile-CC_df.pkl.gz,pile_exclusions/pile_val_Pile-CC_excl.pkl.gz,1.0,Tue Apr 12 20:49:00 2022,Tue Apr 12 21:36:03 2022,0 days 00:47:02
Pcc29_1,9999,pcc_eng_29_001.0001_x0000001,pcc_eng_29_001.9999_x0016002,pile_tables/slices/Pcc29/tmp/pile_29-001_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc29/pile_29-001_Pile-CC_df.pkl.gz,Pcc29.conll/pcc_eng_29-001.conllu,/share/compling/data/pile/train/29.jsonl,29,pile_tables/pile_29_Pile-CC_df.pkl.gz,pile_exclusions/pile_29_Pile-CC_excl.pkl.gz,1.0,Tue Apr 12 21:21:12 2022,Tue Apr 12 22:12:46 2022,0 days 00:51:34
Pcc28_1,9999,pcc_eng_28_001.0001_x0000001,pcc_eng_28_001.9999_x0016230,pile_tables/slices/Pcc28/tmp/pile_28-001_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc28/pile_28-001_Pile-CC_df.pkl.gz,Pcc28.conll/pcc_eng_28-001.conllu,/share/compling/data/pile/train/28.jsonl,28,pile_tables/pile_28_Pile-CC_df.pkl.gz,pile_exclusions/pile_28_Pile-CC_excl.pkl.gz,1.0,Tue Apr 12 21:31:06 2022,Tue Apr 12 22:12:51 2022,0 days 00:41:45
PccVal_2,11306,pcc_eng_val_2.00001_x16204,pcc_eng_val_2.11306_x34544,pile_tables/slices/PccVa/tmp/pile_val-2_Pile-CC_df.pkl.gz,pile_tables/slices/PccVa/pile_val-2_Pile-CC_df.pkl.gz,PccVa.conll/pcc_eng_val-02.conllu,/share/compling/data/pile/val.jsonl,val,pile_tables/pile_val_Pile-CC_df.pkl.gz,pile_exclusions/pile_val_Pile-CC_excl.pkl.gz,2.0,Tue Apr 12 21:36:03 2022,Tue Apr 12 22:24:26 2022,0 days 00:48:23
Pcc28_2,9999,pcc_eng_28_002.0001_x0016232,pcc_eng_28_002.9999_x0032272,pile_tables/slices/Pcc28/tmp/pile_28-002_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc28/pile_28-002_Pile-CC_df.pkl.gz,Pcc28.conll/pcc_eng_28-002.conllu,/share/compling/data/pile/train/28.jsonl,28,pile_tables/pile_28_Pile-CC_df.pkl.gz,pile_exclusions/pile_28_Pile-CC_excl.pkl.gz,2.0,Tue Apr 12 22:12:51 2022,Tue Apr 12 22:54:45 2022,0 days 00:41:54
Pcc29_2,9999,pcc_eng_29_002.0001_x0016004,pcc_eng_29_002.9999_x0032274,pile_tables/slices/Pcc29/tmp/pile_29-002_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc29/pile_29-002_Pile-CC_df.pkl.gz,Pcc29.conll/pcc_eng_29-002.conllu,/share/compling/data/pile/train/29.jsonl,29,pile_tables/pile_29_Pile-CC_df.pkl.gz,pile_exclusions/pile_29_Pile-CC_excl.pkl.gz,2.0,Tue Apr 12 22:12:46 2022,Tue Apr 12 23:05:53 2022,0 days 00:53:08
PccVal_3,11307,pcc_eng_val_3.00001_x34545,pcc_eng_val_3.11307_x52791,pile_tables/slices/PccVa/tmp/pile_val-3_Pile-CC_df.pkl.gz,pile_tables/slices/PccVa/pile_val-3_Pile-CC_df.pkl.gz,PccVa.conll/pcc_eng_val-03.conllu,/share/compling/data/pile/val.jsonl,val,pile_tables/pile_val_Pile-CC_df.pkl.gz,pile_exclusions/pile_val_Pile-CC_excl.pkl.gz,3.0,Tue Apr 12 22:24:26 2022,Tue Apr 12 23:13:42 2022,0 days 00:49:16
Pcc28_3,9999,pcc_eng_28_003.0001_x0032273,pcc_eng_28_003.9999_x0048538,pile_tables/slices/Pcc28/tmp/pile_28-003_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc28/pile_28-003_Pile-CC_df.pkl.gz,Pcc28.conll/pcc_eng_28-003.conllu,/share/compling/data/pile/train/28.jsonl,28,pile_tables/pile_28_Pile-CC_df.pkl.gz,pile_exclusions/pile_28_Pile-CC_excl.pkl.gz,3.0,Tue Apr 12 22:54:45 2022,Tue Apr 12 23:36:38 2022,0 days 00:41:52
PccTest_1,9999,pcc_eng_test_1.0001_x00002,pcc_eng_test_1.9999_x16049,pile_tables/slices/PccTe/tmp/pile_test-1_Pile-CC_df.pkl.gz,pile_tables/slices/PccTe/pile_test-1_Pile-CC_df.pkl.gz,PccTe.conll/pcc_eng_test-01.conllu,/share/compling/data/pile/test.jsonl,test,pile_tables/pile_test_Pile-CC_df.pkl.gz,pile_exclusions/pile_test_Pile-CC_excl.pkl.gz,1.0,Tue Apr 12 23:03:22 2022,Tue Apr 12 23:42:34 2022,0 days 00:39:12
Pcc29_3,9999,pcc_eng_29_003.0001_x0032275,pcc_eng_29_003.9999_x0048551,pile_tables/slices/Pcc29/tmp/pile_29-003_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc29/pile_29-003_Pile-CC_df.pkl.gz,Pcc29.conll/pcc_eng_29-003.conllu,/share/compling/data/pile/train/29.jsonl,29,pile_tables/pile_29_Pile-CC_df.pkl.gz,pile_exclusions/pile_29_Pile-CC_excl.pkl.gz,3.0,Tue Apr 12 23:05:53 2022,Tue Apr 12 23:55:26 2022,0 days 00:49:33
Pcc28_4,9999,pcc_eng_28_004.0001_x0048541,pcc_eng_28_004.9999_x0064633,pile_tables/slices/Pcc28/tmp/pile_28-004_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc28/pile_28-004_Pile-CC_df.pkl.gz,Pcc28.conll/pcc_eng_28-004.conllu,/share/compling/data/pile/train/28.jsonl,28,pile_tables/pile_28_Pile-CC_df.pkl.gz,pile_exclusions/pile_28_Pile-CC_excl.pkl.gz,4.0,Tue Apr 12 23:36:38 2022,Wed Apr 13 00:18:38 2022,0 days 00:42:00
PccTest_2,11349,pcc_eng_test_2.00001_x16050,pcc_eng_test_2.11349_x34443,pile_tables/slices/PccTe/tmp/pile_test-2_Pile-CC_df.pkl.gz,pile_tables/slices/PccTe/pile_test-2_Pile-CC_df.pkl.gz,PccTe.conll/pcc_eng_test-02.conllu,/share/compling/data/pile/test.jsonl,test,pile_tables/pile_test_Pile-CC_df.pkl.gz,pile_exclusions/pile_test_Pile-CC_excl.pkl.gz,2.0,Tue Apr 12 23:42:39 2022,Wed Apr 13 00:27:58 2022,0 days 00:45:19
Pcc29_4,9999,pcc_eng_29_004.0001_x0048553,pcc_eng_29_004.9999_x0064721,pile_tables/slices/Pcc29/tmp/pile_29-004_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc29/pile_29-004_Pile-CC_df.pkl.gz,Pcc29.conll/pcc_eng_29-004.conllu,/share/compling/data/pile/train/29.jsonl,29,pile_tables/pile_29_Pile-CC_df.pkl.gz,pile_exclusions/pile_29_Pile-CC_excl.pkl.gz,4.0,Tue Apr 12 23:55:27 2022,Wed Apr 13 00:47:00 2022,0 days 00:51:33
Pcc28_5,9999,pcc_eng_28_005.0001_x0064635,pcc_eng_28_005.9999_x0080777,pile_tables/slices/Pcc28/tmp/pile_28-005_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc28/pile_28-005_Pile-CC_df.pkl.gz,Pcc28.conll/pcc_eng_28-005.conllu,/share/compling/data/pile/train/28.jsonl,28,pile_tables/pile_28_Pile-CC_df.pkl.gz,pile_exclusions/pile_28_Pile-CC_excl.pkl.gz,5.0,Wed Apr 13 00:18:38 2022,Wed Apr 13 01:00:29 2022,0 days 00:41:52
Pcc29_5,9999,pcc_eng_29_005.0001_x0064722,pcc_eng_29_005.9999_x0080996,pile_tables/slices/Pcc29/tmp/pile_29-005_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc29/pile_29-005_Pile-CC_df.pkl.gz,Pcc29.conll/pcc_eng_29-005.conllu,/share/compling/data/pile/train/29.jsonl,29,pile_tables/pile_29_Pile-CC_df.pkl.gz,pile_exclusions/pile_29_Pile-CC_excl.pkl.gz,5.0,Wed Apr 13 00:47:02 2022,Wed Apr 13 01:37:24 2022,0 days 00:50:23
Pcc28_6,9999,pcc_eng_28_006.0001_x0080778,pcc_eng_28_006.9999_x0096961,pile_tables/slices/Pcc28/tmp/pile_28-006_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc28/pile_28-006_Pile-CC_df.pkl.gz,Pcc28.conll/pcc_eng_28-006.conllu,/share/compling/data/pile/train/28.jsonl,28,pile_tables/pile_28_Pile-CC_df.pkl.gz,pile_exclusions/pile_28_Pile-CC_excl.pkl.gz,6.0,Wed Apr 13 01:00:29 2022,Wed Apr 13 01:42:38 2022,0 days 00:42:08
Pcc28_7,9999,pcc_eng_28_007.0001_x0096962,pcc_eng_28_007.9999_x0113064,pile_tables/slices/Pcc28/tmp/pile_28-007_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc28/pile_28-007_Pile-CC_df.pkl.gz,Pcc28.conll/pcc_eng_28-007.conllu,/share/compling/data/pile/train/28.jsonl,28,pile_tables/pile_28_Pile-CC_df.pkl.gz,pile_exclusions/pile_28_Pile-CC_excl.pkl.gz,7.0,Wed Apr 13 01:42:38 2022,Wed Apr 13 02:23:13 2022,0 days 00:40:36
Pcc29_6,9999,pcc_eng_29_006.0001_x0080997,pcc_eng_29_006.9999_x0097017,pile_tables/slices/Pcc29/tmp/pile_29-006_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc29/pile_29-006_Pile-CC_df.pkl.gz,Pcc29.conll/pcc_eng_29-006.conllu,/share/compling/data/pile/train/29.jsonl,29,pile_tables/pile_29_Pile-CC_df.pkl.gz,pile_exclusions/pile_29_Pile-CC_excl.pkl.gz,6.0,Wed Apr 13 01:46:26 2022,Wed Apr 13 02:38:23 2022,0 days 00:51:57
Pcc28_8,9999,pcc_eng_28_008.0001_x0113065,pcc_eng_28_008.9999_x0129256,pile_tables/slices/Pcc28/tmp/pile_28-008_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc28/pile_28-008_Pile-CC_df.pkl.gz,Pcc28.conll/pcc_eng_28-008.conllu,/share/compling/data/pile/train/28.jsonl,28,pile_tables/pile_28_Pile-CC_df.pkl.gz,pile_exclusions/pile_28_Pile-CC_excl.pkl.gz,8.0,Wed Apr 13 02:31:13 2022,Wed Apr 13 03:12:14 2022,0 days 00:41:01
Pcc11_1,9999,pcc_eng_11_001.0001_x0000001,pcc_eng_11_001.9999_x0016294,pile_tables/slices/Pcc11/tmp/pile_11-001_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc11/pile_11-001_Pile-CC_df.pkl.gz,Pcc11.conll/pcc_eng_11-001.conllu,/share/compling/data/pile/train/11.jsonl,11,pile_tables/pile_11_Pile-CC_df.pkl.gz,pile_exclusions/pile_11_Pile-CC_excl.pkl.gz,1.0,Wed Apr 13 02:47:32 2022,Wed Apr 13 03:29:59 2022,0 days 00:42:26
Pcc29_7,9999,pcc_eng_29_007.0001_x0097019,pcc_eng_29_007.9999_x0113126,pile_tables/slices/Pcc29/tmp/pile_29-007_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc29/pile_29-007_Pile-CC_df.pkl.gz,Pcc29.conll/pcc_eng_29-007.conllu,/share/compling/data/pile/train/29.jsonl,29,pile_tables/pile_29_Pile-CC_df.pkl.gz,pile_exclusions/pile_29_Pile-CC_excl.pkl.gz,7.0,Wed Apr 13 02:38:23 2022,Wed Apr 13 03:31:55 2022,0 days 00:53:33
Pcc10_1,9999,pcc_eng_10_001.0001_x0000001,pcc_eng_10_001.9999_x0016168,pile_tables/slices/Pcc10/tmp/pile_10-001_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc10/pile_10-001_Pile-CC_df.pkl.gz,Pcc10.conll/pcc_eng_10-001.conllu,/share/compling/data/pile/train/10.jsonl,10,pile_tables/pile_10_Pile-CC_df.pkl.gz,pile_exclusions/pile_10_Pile-CC_excl.pkl.gz,1.0,Wed Apr 13 02:58:31 2022,Wed Apr 13 03:40:45 2022,0 days 00:42:15
Pcc09_1,9999,pcc_eng_09_001.0001_x0000002,pcc_eng_09_001.9999_x0016231,pile_tables/slices/Pcc09/tmp/pile_09-001_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc09/pile_09-001_Pile-CC_df.pkl.gz,Pcc09.conll/pcc_eng_09-001.conllu,/share/compling/data/pile/train/09.jsonl,09,pile_tables/pile_09_Pile-CC_df.pkl.gz,pile_exclusions/pile_09_Pile-CC_excl.pkl.gz,1.0,Wed Apr 13 03:09:03 2022,Wed Apr 13 03:52:15 2022,0 days 00:43:13
Pcc08_1,9999,pcc_eng_08_001.0001_x0000001,pcc_eng_08_001.9999_x0016161,pile_tables/slices/Pcc08/tmp/pile_08-001_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc08/pile_08-001_Pile-CC_df.pkl.gz,Pcc08.conll/pcc_eng_08-001.conllu,/share/compling/data/pile/train/08.jsonl,08,pile_tables/pile_08_Pile-CC_df.pkl.gz,pile_exclusions/pile_08_Pile-CC_excl.pkl.gz,1.0,Wed Apr 13 03:11:03 2022,Wed Apr 13 03:52:58 2022,0 days 00:41:55
Pcc28_9,9999,pcc_eng_28_009.0001_x0129262,pcc_eng_28_009.9999_x0145456,pile_tables/slices/Pcc28/tmp/pile_28-009_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc28/pile_28-009_Pile-CC_df.pkl.gz,Pcc28.conll/pcc_eng_28-009.conllu,/share/compling/data/pile/train/28.jsonl,28,pile_tables/pile_28_Pile-CC_df.pkl.gz,pile_exclusions/pile_28_Pile-CC_excl.pkl.gz,9.0,Wed Apr 13 03:12:14 2022,Wed Apr 13 03:55:34 2022,0 days 00:43:20
Pcc05_1,9999,pcc_eng_05_001.0001_x0000001,pcc_eng_05_001.9999_x0016251,pile_tables/slices/Pcc05/tmp/pile_05-001_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc05/pile_05-001_Pile-CC_df.pkl.gz,Pcc05.conll/pcc_eng_05-001.conllu,/share/compling/data/pile/train/05.jsonl,05,pile_tables/pile_05_Pile-CC_df.pkl.gz,pile_exclusions/pile_05_Pile-CC_excl.pkl.gz,1.0,Wed Apr 13 03:06:13 2022,Wed Apr 13 03:57:59 2022,0 days 00:51:46
Pcc03_1,9999,pcc_eng_03_001.0001_x0000004,pcc_eng_03_001.9999_x0016214,pile_tables/slices/Pcc03/tmp/pile_03-001_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc03/pile_03-001_Pile-CC_df.pkl.gz,Pcc03.conll/pcc_eng_03-001.conllu,/share/compling/data/pile/train/03.jsonl,03,pile_tables/pile_03_Pile-CC_df.pkl.gz,pile_exclusions/pile_03_Pile-CC_excl.pkl.gz,1.0,Wed Apr 13 03:19:26 2022,Wed Apr 13 04:05:09 2022,0 days 00:45:42
Pcc01_1,9999,pcc_eng_01_001.0001_x0000002,pcc_eng_01_001.9999_x0016202,pile_tables/slices/Pcc01/tmp/pile_01-001_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc01/pile_01-001_Pile-CC_df.pkl.gz,Pcc01.conll/pcc_eng_01-001.conllu,/share/compling/data/pile/train/01.jsonl,01,pile_tables/pile_01_Pile-CC_df.pkl.gz,pile_exclusions/pile_01_Pile-CC_excl.pkl.gz,1.0,Wed Apr 13 03:35:20 2022,Wed Apr 13 04:20:23 2022,0 days 00:45:03
Pcc12_1,9999,pcc_eng_12_001.0001_x0000001,pcc_eng_12_001.9999_x0016168,pile_tables/slices/Pcc12/tmp/pile_12-001_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc12/pile_12-001_Pile-CC_df.pkl.gz,Pcc12.conll/pcc_eng_12-001.conllu,/share/compling/data/pile/train/12.jsonl,12,pile_tables/pile_12_Pile-CC_df.pkl.gz,pile_exclusions/pile_12_Pile-CC_excl.pkl.gz,1.0,Wed Apr 13 03:36:13 2022,Wed Apr 13 04:26:14 2022,0 days 00:50:01
Pcc11_2,9999,pcc_eng_11_002.0001_x0016296,pcc_eng_11_002.9999_x0032490,pile_tables/slices/Pcc11/tmp/pile_11-002_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc11/pile_11-002_Pile-CC_df.pkl.gz,Pcc11.conll/pcc_eng_11-002.conllu,/share/compling/data/pile/train/11.jsonl,11,pile_tables/pile_11_Pile-CC_df.pkl.gz,pile_exclusions/pile_11_Pile-CC_excl.pkl.gz,2.0,Wed Apr 13 03:29:59 2022,Wed Apr 13 04:29:56 2022,0 days 00:59:57
Pcc13_1,9999,pcc_eng_13_001.0001_x0000001,pcc_eng_13_001.9999_x0016003,pile_tables/slices/Pcc13/tmp/pile_13-001_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc13/pile_13-001_Pile-CC_df.pkl.gz,Pcc13.conll/pcc_eng_13-001.conllu,/share/compling/data/pile/train/13.jsonl,13,pile_tables/pile_13_Pile-CC_df.pkl.gz,pile_exclusions/pile_13_Pile-CC_excl.pkl.gz,1.0,Wed Apr 13 03:42:51 2022,Wed Apr 13 04:34:00 2022,0 days 00:51:08
Pcc04_1,9999,pcc_eng_04_001.0001_x0000001,pcc_eng_04_001.9999_x0016161,pile_tables/slices/Pcc04/tmp/pile_04-001_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc04/pile_04-001_Pile-CC_df.pkl.gz,Pcc04.conll/pcc_eng_04-001.conllu,/share/compling/data/pile/train/04.jsonl,04,pile_tables/pile_04_Pile-CC_df.pkl.gz,pile_exclusions/pile_04_Pile-CC_excl.pkl.gz,1.0,Wed Apr 13 03:41:22 2022,Wed Apr 13 04:37:49 2022,0 days 00:56:28
Pcc02_1,9999,pcc_eng_02_001.0001_x0000003,pcc_eng_02_001.9999_x0016185,pile_tables/slices/Pcc02/tmp/pile_02-001_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc02/pile_02-001_Pile-CC_df.pkl.gz,Pcc02.conll/pcc_eng_02-001.conllu,/share/compling/data/pile/train/02.jsonl,02,pile_tables/pile_02_Pile-CC_df.pkl.gz,pile_exclusions/pile_02_Pile-CC_excl.pkl.gz,1.0,Wed Apr 13 03:43:54 2022,Wed Apr 13 04:39:40 2022,0 days 00:55:46
Pcc06_1,9999,pcc_eng_06_001.0001_x0000001,pcc_eng_06_001.9999_x0016197,pile_tables/slices/Pcc06/tmp/pile_06-001_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc06/pile_06-001_Pile-CC_df.pkl.gz,Pcc06.conll/pcc_eng_06-001.conllu,/share/compling/data/pile/train/06.jsonl,06,pile_tables/pile_06_Pile-CC_df.pkl.gz,pile_exclusions/pile_06_Pile-CC_excl.pkl.gz,1.0,Wed Apr 13 03:48:43 2022,Wed Apr 13 04:42:23 2022,0 days 00:53:40
Pcc28_10,9999,pcc_eng_28_010.0001_x0145457,pcc_eng_28_010.9999_x0161756,pile_tables/slices/Pcc28/tmp/pile_28-010_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc28/pile_28-010_Pile-CC_df.pkl.gz,Pcc28.conll/pcc_eng_28-010.conllu,/share/compling/data/pile/train/28.jsonl,28,pile_tables/pile_28_Pile-CC_df.pkl.gz,pile_exclusions/pile_28_Pile-CC_excl.pkl.gz,10.0,Wed Apr 13 04:03:25 2022,Wed Apr 13 04:44:38 2022,0 days 00:41:13
Pcc16_1,9999,pcc_eng_16_001.0001_x0000001,pcc_eng_16_001.9999_x0016355,pile_tables/slices/Pcc16/tmp/pile_16-001_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc16/pile_16-001_Pile-CC_df.pkl.gz,Pcc16.conll/pcc_eng_16-001.conllu,/share/compling/data/pile/train/16.jsonl,16,pile_tables/pile_16_Pile-CC_df.pkl.gz,pile_exclusions/pile_16_Pile-CC_excl.pkl.gz,1.0,Wed Apr 13 03:50:13 2022,Wed Apr 13 04:45:14 2022,0 days 00:55:01
Pcc17_1,9999,pcc_eng_17_001.0001_x0000001,pcc_eng_17_001.9999_x0016108,pile_tables/slices/Pcc17/tmp/pile_17-001_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc17/pile_17-001_Pile-CC_df.pkl.gz,Pcc17.conll/pcc_eng_17-001.conllu,/share/compling/data/pile/train/17.jsonl,17,pile_tables/pile_17_Pile-CC_df.pkl.gz,pile_exclusions/pile_17_Pile-CC_excl.pkl.gz,1.0,Wed Apr 13 03:53:09 2022,Wed Apr 13 04:45:20 2022,0 days 00:52:11
