record,slice_name,total_texts,first_text_id,last_text_id,tmp_slice_path,final_slice_path,conllu_path,origin_filepath,data_origin_group,final_df_path,exclusions_path,slice_number,started_at,finished_at,parsing_time,slice_number_str,days,time,seconds,kept_df_mtime,excl_df_mtime,slice_df_mtime,conllu_mtime,kept_df_gzMB,excl_df_gzMB,slice_df_gzMB,conllu_MB,end_timedelta
29-006-0029,Pcc29_6,9999,pcc_eng_29_006.0001_x0080997,pcc_eng_29_006.9999_x0097017,pile_tables/slices/Pcc29/tmp/pile_29-006_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc29/pile_29-006_Pile-CC_df.pkl.gz,Pcc29.conll/pcc_eng_29-006.conllu,/share/compling/data/pile/train/29.jsonl,29,pile_tables/pile_29_Pile-CC_df.pkl.gz,pile_exclusions/pile_29_Pile-CC_excl.pkl.gz,6,2022-04-13 01:46:00,2022-04-13 02:38:00,0 days 00:51:57,006,0,0 days 00:51:57,3117,2022-03-27 02:12:00,2022-04-30 03:31:00,2022-04-12 21:17:00,2022-04-13 02:38:00,1015.2,0.1,9.2,372.2,0.0
28-008-0030,Pcc28_8,9999,pcc_eng_28_008.0001_x0113065,pcc_eng_28_008.9999_x0129256,pile_tables/slices/Pcc28/tmp/pile_28-008_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc28/pile_28-008_Pile-CC_df.pkl.gz,Pcc28.conll/pcc_eng_28-008.conllu,/share/compling/data/pile/train/28.jsonl,28,pile_tables/pile_28_Pile-CC_df.pkl.gz,pile_exclusions/pile_28_Pile-CC_excl.pkl.gz,8,2022-04-13 02:31:00,2022-04-13 03:12:00,0 days 00:41:01,008,0,0 days 00:41:01,2461,2022-04-02 06:13:00,2022-06-28 15:20:00,2022-04-12 21:27:00,2022-04-13 03:12:00,1014.1,1750.6,9.2,371.2,0.0
11-001-0031,Pcc11_1,9999,pcc_eng_11_001.0001_x0000001,pcc_eng_11_001.9999_x0016294,pile_tables/slices/Pcc11/tmp/pile_11-001_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc11/pile_11-001_Pile-CC_df.pkl.gz,Pcc11.conll/pcc_eng_11-001.conllu,/share/compling/data/pile/train/11.jsonl,11,pile_tables/pile_11_Pile-CC_df.pkl.gz,pile_exclusions/pile_11_Pile-CC_excl.pkl.gz,1,2022-04-13 02:48:00,2022-04-13 03:30:00,0 days 00:42:26,001,0,0 days 00:42:26,2546,2022-04-13 02:43:00,2022-04-22 10:03:00,2022-04-13 02:43:00,2022-04-13 03:30:00,1012.4,1750.2,9.4,380.1,0.0
29-007-0032,Pcc29_7,9999,pcc_eng_29_007.0001_x0097019,pcc_eng_29_007.9999_x0113126,pile_tables/slices/Pcc29/tmp/pile_29-007_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc29/pile_29-007_Pile-CC_df.pkl.gz,Pcc29.conll/pcc_eng_29-007.conllu,/share/compling/data/pile/train/29.jsonl,29,pile_tables/pile_29_Pile-CC_df.pkl.gz,pile_exclusions/pile_29_Pile-CC_excl.pkl.gz,7,2022-04-13 02:38:00,2022-04-13 03:32:00,0 days 00:53:33,007,0,0 days 00:53:33,3213,2022-03-27 02:12:00,2022-04-30 03:31:00,2022-04-12 21:17:00,2022-04-13 03:32:00,1015.2,0.1,9.5,386.2,0.0
10-001-0033,Pcc10_1,9999,pcc_eng_10_001.0001_x0000001,pcc_eng_10_001.9999_x0016168,pile_tables/slices/Pcc10/tmp/pile_10-001_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc10/pile_10-001_Pile-CC_df.pkl.gz,Pcc10.conll/pcc_eng_10-001.conllu,/share/compling/data/pile/train/10.jsonl,10,pile_tables/pile_10_Pile-CC_df.pkl.gz,pile_exclusions/pile_10_Pile-CC_excl.pkl.gz,1,2022-04-13 02:59:00,2022-04-13 03:41:00,0 days 00:42:15,001,0,0 days 00:42:15,2535,2022-04-13 02:54:00,2022-06-28 15:49:00,2022-04-13 02:54:00,2022-04-13 03:41:00,1015.6,1740.5,9.2,371.2,0.0
09-001-0034,Pcc09_1,9999,pcc_eng_09_001.0001_x0000002,pcc_eng_09_001.9999_x0016231,pile_tables/slices/Pcc09/tmp/pile_09-001_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc09/pile_09-001_Pile-CC_df.pkl.gz,Pcc09.conll/pcc_eng_09-001.conllu,/share/compling/data/pile/train/09.jsonl,09,pile_tables/pile_09_Pile-CC_df.pkl.gz,pile_exclusions/pile_09_Pile-CC_excl.pkl.gz,1,2022-04-13 03:09:00,2022-04-13 03:52:00,0 days 00:43:13,001,0,0 days 00:43:13,2593,2022-04-13 03:04:00,2022-04-22 12:24:00,2022-04-13 03:05:00,2022-04-13 03:52:00,1013.6,1764.9,9.4,382.1,0.0
08-001-0035,Pcc08_1,9999,pcc_eng_08_001.0001_x0000001,pcc_eng_08_001.9999_x0016161,pile_tables/slices/Pcc08/tmp/pile_08-001_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc08/pile_08-001_Pile-CC_df.pkl.gz,Pcc08.conll/pcc_eng_08-001.conllu,/share/compling/data/pile/train/08.jsonl,08,pile_tables/pile_08_Pile-CC_df.pkl.gz,pile_exclusions/pile_08_Pile-CC_excl.pkl.gz,1,2022-04-13 03:11:00,2022-04-13 03:53:00,0 days 00:41:55,001,0,0 days 00:41:55,2515,2022-04-13 03:06:00,2022-05-04 13:31:00,2022-04-13 03:07:00,2022-04-13 03:53:00,1011.5,1752.3,9.3,374.5,0.0
28-009-0036,Pcc28_9,9999,pcc_eng_28_009.0001_x0129262,pcc_eng_28_009.9999_x0145456,pile_tables/slices/Pcc28/tmp/pile_28-009_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc28/pile_28-009_Pile-CC_df.pkl.gz,Pcc28.conll/pcc_eng_28-009.conllu,/share/compling/data/pile/train/28.jsonl,28,pile_tables/pile_28_Pile-CC_df.pkl.gz,pile_exclusions/pile_28_Pile-CC_excl.pkl.gz,9,2022-04-13 03:12:00,2022-04-13 03:56:00,0 days 00:43:20,009,0,0 days 00:43:20,2600,2022-04-02 06:13:00,2022-06-28 15:20:00,2022-04-12 21:27:00,2022-04-13 03:56:00,1014.1,1750.6,9.5,384.8,0.0
05-001-0037,Pcc05_1,9999,pcc_eng_05_001.0001_x0000001,pcc_eng_05_001.9999_x0016251,pile_tables/slices/Pcc05/tmp/pile_05-001_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc05/pile_05-001_Pile-CC_df.pkl.gz,Pcc05.conll/pcc_eng_05-001.conllu,/share/compling/data/pile/train/05.jsonl,05,pile_tables/pile_05_Pile-CC_df.pkl.gz,pile_exclusions/pile_05_Pile-CC_excl.pkl.gz,1,2022-04-13 03:06:00,2022-04-13 03:58:00,0 days 00:51:46,001,0,0 days 00:51:46,3106,2022-04-13 03:00:00,2022-04-22 08:54:00,2022-04-13 03:01:00,2022-04-13 03:58:00,1012.5,1758.6,9.3,378.2,0.0
03-001-0038,Pcc03_1,9999,pcc_eng_03_001.0001_x0000004,pcc_eng_03_001.9999_x0016214,pile_tables/slices/Pcc03/tmp/pile_03-001_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc03/pile_03-001_Pile-CC_df.pkl.gz,Pcc03.conll/pcc_eng_03-001.conllu,/share/compling/data/pile/train/03.jsonl,03,pile_tables/pile_03_Pile-CC_df.pkl.gz,pile_exclusions/pile_03_Pile-CC_excl.pkl.gz,1,2022-04-13 03:19:00,2022-04-13 04:05:00,0 days 00:45:42,001,0,0 days 00:45:42,2742,2022-04-13 03:15:00,2022-04-22 10:21:00,2022-04-13 03:15:00,2022-04-13 04:05:00,1013.6,1749.5,9.4,380.3,0.0
01-001-0039,Pcc01_1,9999,pcc_eng_01_001.0001_x0000002,pcc_eng_01_001.9999_x0016202,pile_tables/slices/Pcc01/tmp/pile_01-001_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc01/pile_01-001_Pile-CC_df.pkl.gz,Pcc01.conll/pcc_eng_01-001.conllu,/share/compling/data/pile/train/01.jsonl,01,pile_tables/pile_01_Pile-CC_df.pkl.gz,pile_exclusions/pile_01_Pile-CC_excl.pkl.gz,1,2022-04-13 03:35:00,2022-04-13 04:20:00,0 days 00:45:03,001,0,0 days 00:45:03,2703,2022-04-13 03:31:00,2022-06-28 23:06:00,2022-04-13 03:31:00,2022-04-13 04:20:00,1013.1,0.2,9.4,382.0,0.0
12-001-0040,Pcc12_1,9999,pcc_eng_12_001.0001_x0000001,pcc_eng_12_001.9999_x0016168,pile_tables/slices/Pcc12/tmp/pile_12-001_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc12/pile_12-001_Pile-CC_df.pkl.gz,Pcc12.conll/pcc_eng_12-001.conllu,/share/compling/data/pile/train/12.jsonl,12,pile_tables/pile_12_Pile-CC_df.pkl.gz,pile_exclusions/pile_12_Pile-CC_excl.pkl.gz,1,2022-04-13 03:36:00,2022-04-13 04:26:00,0 days 00:50:01,001,0,0 days 00:50:01,3001,2022-04-13 03:31:00,2022-06-28 15:27:00,2022-04-13 03:32:00,2022-04-13 04:26:00,1012.8,1753.8,9.5,385.6,0.0
11-002-0041,Pcc11_2,9999,pcc_eng_11_002.0001_x0016296,pcc_eng_11_002.9999_x0032490,pile_tables/slices/Pcc11/tmp/pile_11-002_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc11/pile_11-002_Pile-CC_df.pkl.gz,Pcc11.conll/pcc_eng_11-002.conllu,/share/compling/data/pile/train/11.jsonl,11,pile_tables/pile_11_Pile-CC_df.pkl.gz,pile_exclusions/pile_11_Pile-CC_excl.pkl.gz,2,2022-04-13 03:30:00,2022-04-13 04:30:00,0 days 00:59:57,002,0,0 days 00:59:57,3597,2022-04-13 02:43:00,2022-04-22 10:03:00,2022-04-13 02:43:00,2022-04-13 04:30:00,1012.4,1750.2,9.5,386.0,0.0
13-001-0042,Pcc13_1,9999,pcc_eng_13_001.0001_x0000001,pcc_eng_13_001.9999_x0016003,pile_tables/slices/Pcc13/tmp/pile_13-001_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc13/pile_13-001_Pile-CC_df.pkl.gz,Pcc13.conll/pcc_eng_13-001.conllu,/share/compling/data/pile/train/13.jsonl,13,pile_tables/pile_13_Pile-CC_df.pkl.gz,pile_exclusions/pile_13_Pile-CC_excl.pkl.gz,1,2022-04-13 03:43:00,2022-04-13 04:34:00,0 days 00:51:08,001,0,0 days 00:51:08,3068,2022-04-13 03:38:00,2022-04-22 18:21:00,2022-04-13 03:38:00,2022-04-13 04:34:00,1015.6,1755.2,9.4,381.2,0.0
04-001-0043,Pcc04_1,9999,pcc_eng_04_001.0001_x0000001,pcc_eng_04_001.9999_x0016161,pile_tables/slices/Pcc04/tmp/pile_04-001_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc04/pile_04-001_Pile-CC_df.pkl.gz,Pcc04.conll/pcc_eng_04-001.conllu,/share/compling/data/pile/train/04.jsonl,04,pile_tables/pile_04_Pile-CC_df.pkl.gz,pile_exclusions/pile_04_Pile-CC_excl.pkl.gz,1,2022-04-13 03:41:00,2022-04-13 04:38:00,0 days 00:56:28,001,0,0 days 00:56:28,3388,2022-04-13 03:36:00,2022-06-03 07:10:00,2022-04-13 03:36:00,2022-04-13 04:38:00,1013.6,1742.4,9.5,382.9,0.0
02-001-0044,Pcc02_1,9999,pcc_eng_02_001.0001_x0000003,pcc_eng_02_001.9999_x0016185,pile_tables/slices/Pcc02/tmp/pile_02-001_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc02/pile_02-001_Pile-CC_df.pkl.gz,Pcc02.conll/pcc_eng_02-001.conllu,/share/compling/data/pile/train/02.jsonl,02,pile_tables/pile_02_Pile-CC_df.pkl.gz,pile_exclusions/pile_02_Pile-CC_excl.pkl.gz,1,2022-04-13 03:44:00,2022-04-13 04:40:00,0 days 00:55:46,001,0,0 days 00:55:46,3346,2022-04-13 03:39:00,2022-06-28 22:15:00,2022-04-13 03:39:00,2022-04-13 04:40:00,1015.8,1753.6,9.5,385.4,0.0
06-001-0045,Pcc06_1,9999,pcc_eng_06_001.0001_x0000001,pcc_eng_06_001.9999_x0016197,pile_tables/slices/Pcc06/tmp/pile_06-001_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc06/pile_06-001_Pile-CC_df.pkl.gz,Pcc06.conll/pcc_eng_06-001.conllu,/share/compling/data/pile/train/06.jsonl,06,pile_tables/pile_06_Pile-CC_df.pkl.gz,pile_exclusions/pile_06_Pile-CC_excl.pkl.gz,1,2022-04-13 03:49:00,2022-04-13 04:42:00,0 days 00:53:40,001,0,0 days 00:53:40,3220,2022-04-13 03:43:00,2022-06-28 15:29:00,2022-04-13 03:44:00,2022-04-13 04:42:00,1010.5,1753.3,9.6,389.3,0.0
28-010-0046,Pcc28_10,9999,pcc_eng_28_010.0001_x0145457,pcc_eng_28_010.9999_x0161756,pile_tables/slices/Pcc28/tmp/pile_28-010_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc28/pile_28-010_Pile-CC_df.pkl.gz,Pcc28.conll/pcc_eng_28-010.conllu,/share/compling/data/pile/train/28.jsonl,28,pile_tables/pile_28_Pile-CC_df.pkl.gz,pile_exclusions/pile_28_Pile-CC_excl.pkl.gz,10,2022-04-13 04:03:00,2022-04-13 04:45:00,0 days 00:41:13,010,0,0 days 00:41:13,2473,2022-04-02 06:13:00,2022-06-28 15:20:00,2022-04-12 21:27:00,2022-04-13 04:45:00,1014.1,1750.6,9.3,377.3,0.0
16-001-0047,Pcc16_1,9999,pcc_eng_16_001.0001_x0000001,pcc_eng_16_001.9999_x0016355,pile_tables/slices/Pcc16/tmp/pile_16-001_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc16/pile_16-001_Pile-CC_df.pkl.gz,Pcc16.conll/pcc_eng_16-001.conllu,/share/compling/data/pile/train/16.jsonl,16,pile_tables/pile_16_Pile-CC_df.pkl.gz,pile_exclusions/pile_16_Pile-CC_excl.pkl.gz,1,2022-04-13 03:50:00,2022-04-13 04:45:00,0 days 00:55:01,001,0,0 days 00:55:01,3301,2022-04-13 03:44:00,2022-05-31 14:52:00,2022-04-13 03:45:00,2022-04-13 04:45:00,1012.7,1750.4,9.5,385.6,0.0
17-001-0048,Pcc17_1,9999,pcc_eng_17_001.0001_x0000001,pcc_eng_17_001.9999_x0016108,pile_tables/slices/Pcc17/tmp/pile_17-001_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc17/pile_17-001_Pile-CC_df.pkl.gz,Pcc17.conll/pcc_eng_17-001.conllu,/share/compling/data/pile/train/17.jsonl,17,pile_tables/pile_17_Pile-CC_df.pkl.gz,pile_exclusions/pile_17_Pile-CC_excl.pkl.gz,1,2022-04-13 03:53:00,2022-04-13 04:45:00,0 days 00:52:11,001,0,0 days 00:52:11,3131,2022-04-13 03:48:00,2022-04-26 23:41:00,2022-04-13 03:49:00,2022-04-13 04:45:00,1012.8,1744.9,9.4,378.6,0.0
10-002-0049,Pcc10_2,9999,pcc_eng_10_002.0001_x0016169,pcc_eng_10_002.9999_x0032430,pile_tables/slices/Pcc10/tmp/pile_10-002_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc10/pile_10-002_Pile-CC_df.pkl.gz,Pcc10.conll/pcc_eng_10-002.conllu,/share/compling/data/pile/train/10.jsonl,10,pile_tables/pile_10_Pile-CC_df.pkl.gz,pile_exclusions/pile_10_Pile-CC_excl.pkl.gz,2,2022-04-13 03:49:00,2022-04-13 04:48:00,0 days 00:59:08,002,0,0 days 00:59:08,3548,2022-04-13 02:54:00,2022-06-28 15:49:00,2022-04-13 02:54:00,2022-04-13 04:48:00,1015.6,1740.5,9.3,376.6,0.0
05-002-0050,Pcc05_2,9999,pcc_eng_05_002.0001_x0016252,pcc_eng_05_002.9999_x0032496,pile_tables/slices/Pcc05/tmp/pile_05-002_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc05/pile_05-002_Pile-CC_df.pkl.gz,Pcc05.conll/pcc_eng_05-002.conllu,/share/compling/data/pile/train/05.jsonl,05,pile_tables/pile_05_Pile-CC_df.pkl.gz,pile_exclusions/pile_05_Pile-CC_excl.pkl.gz,2,2022-04-13 03:58:00,2022-04-13 04:50:00,0 days 00:51:52,002,0,0 days 00:51:52,3112,2022-04-13 03:00:00,2022-04-22 08:54:00,2022-04-13 03:01:00,2022-04-13 04:50:00,1012.5,1758.6,9.6,388.6,0.0
15-001-0051,Pcc15_1,9999,pcc_eng_15_001.0001_x0000001,pcc_eng_15_001.9999_x0015955,pile_tables/slices/Pcc15/tmp/pile_15-001_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc15/pile_15-001_Pile-CC_df.pkl.gz,Pcc15.conll/pcc_eng_15-001.conllu,/share/compling/data/pile/train/15.jsonl,15,pile_tables/pile_15_Pile-CC_df.pkl.gz,pile_exclusions/pile_15_Pile-CC_excl.pkl.gz,1,2022-04-13 03:57:00,2022-04-13 04:50:00,0 days 00:52:55,001,0,0 days 00:52:55,3175,2022-04-13 03:51:00,2022-04-22 07:27:00,2022-04-13 03:52:00,2022-04-13 04:50:00,1016.0,1754.6,9.5,385.4,0.0
09-002-0052,Pcc09_2,9999,pcc_eng_09_002.0001_x0016238,pcc_eng_09_002.9999_x0032382,pile_tables/slices/Pcc09/tmp/pile_09-002_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc09/pile_09-002_Pile-CC_df.pkl.gz,Pcc09.conll/pcc_eng_09-002.conllu,/share/compling/data/pile/train/09.jsonl,09,pile_tables/pile_09_Pile-CC_df.pkl.gz,pile_exclusions/pile_09_Pile-CC_excl.pkl.gz,2,2022-04-13 03:52:00,2022-04-13 04:51:00,0 days 00:58:49,002,0,0 days 00:58:49,3529,2022-04-13 03:04:00,2022-04-22 12:24:00,2022-04-13 03:05:00,2022-04-13 04:51:00,1013.6,1764.9,9.4,381.3,0.0
08-002-0053,Pcc08_2,9999,pcc_eng_08_002.0001_x0016162,pcc_eng_08_002.9999_x0032504,pile_tables/slices/Pcc08/tmp/pile_08-002_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc08/pile_08-002_Pile-CC_df.pkl.gz,Pcc08.conll/pcc_eng_08-002.conllu,/share/compling/data/pile/train/08.jsonl,08,pile_tables/pile_08_Pile-CC_df.pkl.gz,pile_exclusions/pile_08_Pile-CC_excl.pkl.gz,2,2022-04-13 03:53:00,2022-04-13 04:52:00,0 days 00:58:38,002,0,0 days 00:58:38,3518,2022-04-13 03:06:00,2022-05-04 13:31:00,2022-04-13 03:07:00,2022-04-13 04:52:00,1011.5,1752.3,9.2,373.0,0.0
